...1,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,Location,City/County,region,subregion,large_region,price_per_sq_ft
505,Moore Park Road,1999950,New development,1848,3,NA,London,SW6,4PS,Outer,1082.224025974026
507,Queen's Gate Gardens,1595000,Flat / Apartment,1170,2,Kensington,London,SW7,5RR,Middle,1363.2478632478633
508,United House,499000,New development,690,2,Mayflower Street,London,SE16,4JL,Middle,723.1884057971015
509,Three Riverside,3410000,Penthouse,2852,4,Riverside Quarter,London,SW18,1PP,Outer,1195.6521739130435
510,Onslow Gardens,6750000,Flat / Apartment,2823,5,NA,London,SW7,3QB,Middle,2391.0733262486715
511,Ensor Mews,2850000,House,1724,3,NA,London,SW7,3BT,Middle,1653.1322505800465
512,Roland Gardens,1895000,Flat / Apartment,1474,3,NA,London,SW7,3PE,Middle,1285.61736770692
513,Wardo Avenue,1650000,House,1756,4,Fulham,London,SW6,6RB,Outer,939.6355353075171
514,Kinnoul Road,1225000,House,1806,4,Fulham,London,W6,8NQ,Outer,678.2945736434109
515,Stanlake Road,1100000,House,2145,5,NA,London,W12,7HG,Outer,512.8205128205128
516,Spencer Hill,1095000,House,950,2,Wimbledon,London,SW19,4PA,Further Outer,1152.6315789473683
518,Upton Court,550000,Flat / Apartment,904,2,Wimbledon,London,SW20,8JB,Further Outer,608.4070796460177
519,Earlsfield Road,1500000,House,2583,5,Wandsworth,London,SW18,3DA,Outer,580.7200929152149
520,Dempster Road,750000,Flat / Apartment,911,2,Wandsworth,London,SW18,1AS,Outer,823.271130625686
521,Atheldene Road,1150000,House,1822,5,Wandsworth,London,SW18,3BN,Outer,631.1745334796926
522,Townshend Court,665000,Flat / Apartment,647,2,Shannon Place,London,NW8,7DP,Middle,1027.8207109737248
523,Hamilton Terrace,1250000,Flat / Apartment,1036,2,St. John's Wood,London,NW8,9UJ,Middle,1206.5637065637065
525,James House,600000,Flat / Apartment,632,2,70 Webb's Road,London,SW11,6SE,Middle,949.367088607595
526,Broomwood Road,700000,Flat / Apartment,946,2,NA,London,SW11,6JX,Middle,739.9577167019028
527,Bolingbroke Grove,2450000,House,3020,6,Clapham,London,SW11,6ES,Middle,811.2582781456954
