...1,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,Location,City/County,region,subregion,large_region,price_per_sq_ft
597,Cleveley Court,398000,New development,461,1,Ashton Reach,London,SE16,7EP,Middle,863.3405639913232
598,Amelia Street,570000,Flat / Apartment,680,2,NA,London,SE17,3BZ,Middle,838.2352941176471
599,Alston Road,625000,House,1007,2,NA,London,SW17,0TR,Outer,620.6554121151936
600,Thorne Street,1150000,House,1259,3,Barnes,London,SW13,0PT,Further Outer,913.4233518665608
601,Seward Street,655000,Flat / Apartment,703,2,Clerkenwell,London,EC1,3PA,Further Outer,931.7211948790896
602,Hamond Square,375000,Flat / Apartment,482,1,Hoxton,London,N1,5JQ,central,778.0082987551867
603,Oppidans Road,2395000,House,2221,4,Primrose Hill,London,NW3,3AG,Middle,1078.3430886987844
604,Cairns Road,670000,Flat / Apartment,614,2,NA,London,SW11,1ES,Middle,1091.2052117263843
605,Broomwood Road,1450000,House,1792,5,NA,London,SW11,6JZ,Middle,809.1517857142857
606,Cleveland Street,1750000,Flat / Apartment,2203,3,Fitzrovia,London,W1,6NG,central,794.3713118474807
607,Kinnerton Street,2250000,House,1673,3,NA,London,SW1,8EA,central,1344.8894202032277
608,Liverpool Road,1295000,Penthouse,1424,3,NA,London,N1,1LA,central,909.4101123595506
609,Palewell Park,1750000,House,2435,4,NA,London,SW14,8JH,Further Outer,718.6858316221766
610,Gaskarth Road,700000,Flat / Apartment,707,2,NA,London,SW12,9NL,Outer,990.0990099009902
611,Grange Road,2100000,House,2137,5,Barnes,London,SW13,9RE,Further Outer,982.6860084230229
612,Latchmere Road,775000,House,1414,4,Battersea,London,SW11,2DT,Middle,548.0905233380481
613,Killarney Road,1575000,House,2379,5,Wandsworth,London,SW18,2DX,Outer,662.0428751576293
614,Grove House,650000,Flat / Apartment,1091,3,27 Frampton Park Road,London,E9,7PQ,Middle,595.7836846929423
615,Holland Park Villas,8750000,New development,2755,3,6 Campden Hill,London,W8,7AD,Middle,3176.043557168784
618,Hidcote Apartments,699999,New development,878,2,5 Danvers Avenue,London,SW11,1AN,Middle,797.2653758542141
619,Stonehill Road,2250000,House,2344,5,NA,London,SW14,8RW,Further Outer,959.8976109215017
620,Palewell Park,1750000,House,2540,5,East Sheen,London,SW14,8JQ,Further Outer,688.9763779527559
621,Burnaby Crescent,1380000,House,1737,5,Chiswick,London,W4,3LH,Further Outer,794.4732297063904
623,Castelnau,5500000,House,4666,7,Barnes,London,SW13,9EL,Further Outer,1178.739819974282
624,Denmark Avenue,3050000,House,3717,5,Wimbledon,London,SW19,4HF,Further Outer,820.5542103847189
625,Thornton Hill,2350000,House,3594,5,Wimbledon,London,SW19,4HU,Further Outer,653.8675570395103
627,Cadogan Gardens,6950000,Flat / Apartment,1840,3,NA,London,SW3,2RJ,Middle,3777.1739130434785
628,Egerton Place,5250000,Flat / Apartment,2026,3,Knightsbridge,London,SW3,2EF,Middle,2591.3129318854885
629,Lowndes Square,3375000,Flat / Apartment,913,2,Knightsbridge,London,SW1,9HD,central,3696.604600219058
630,Lancaster Close,1700000,Flat / Apartment,1138,3,13-15 St. Petersburgh Place,London,W2,4JZ,Middle,1493.8488576449913
631,Maddox Street,4650000,Penthouse,2231,4,Mayfair,London,W1,1NR,central,2084.2671447781263
632,New Hereford House,2100000,Flat / Apartment,1074,2,Mayfair,London,W1,7JB,central,1955.3072625698323
633,Trevor Street,7950000,House,3247,4,NA,London,SW7,1DX,Middle,2448.413920542039
634,Carriage House,390000,New development,506,1,2  City North Place,London,N4,3FS,Middle,770.7509881422925
635,Rosaville Road,1650000,House,1684,4,NA,London,SW6,7BN,Outer,979.8099762470309
636,Barkston Gardens,2000000,Flat / Apartment,1997,4,Earl's Court,London,SW5,0ER,Middle,1001.5022533800701
638,Calbourne Road,1585000,House,2055,4,NA,London,SW12,8LW,Outer,771.2895377128954
639,Trinity Road,4250000,House,4774,7,Wandsworth,London,SW18,3SN,Outer,890.2387934645999
640,Fulham Road,3950000,House,2815,4,NA,London,SW10,9UG,Middle,1403.197158081705
641,Queens Ride,6500000,House,5196,6,NA,London,SW13,0JF,Further Outer,1250.9622786759046
642,1 Eastfields Avenue,985000,Flat / Apartment,1295,3,Putney,London,SW18,1FQ,Outer,760.6177606177606
643,Charlwood Place,1500000,Flat / Apartment,1275,3,Pimlico,London,SW1,2LX,central,1176.4705882352941
644,Buckingham Gate,465000,Flat / Apartment,543,1,NA,London,SW1,6PA,central,856.353591160221
645,Effra Road,950000,House,1357,3,Wimbledon,London,SW19,8PR,Further Outer,700.0736919675755
646,Kingholme House,699950,Flat / Apartment,786,2,Wimbledon,London,SW19,4RD,Further Outer,890.5216284987278
647,East Hill,725000,Flat / Apartment,1134,2,Wandsworth,London,SW18,2QE,Outer,639.3298059964727
648,Townshend Court,465000,Flat / Apartment,473,1,Shannon Place,London,NW8,7DP,Middle,983.0866807610994
649,Mortimer Court,500000,Flat / Apartment,451,1,Abbey Road,London,NW8,9AB,Middle,1108.6474501108648
650,Rutland Gate,5750000,Flat / Apartment,2524,3,Knightsbridge,London,SW7,1PJ,Middle,2278.1299524564183
651,Chevalier House,5450000,Flat / Apartment,1650,2,60 Brompton Road,London,SW3,1BW,Middle,3303.030303030303
655,Eastfields Avenue,775000,Flat / Apartment,820,2,Putney,London,SW18,1GN,Outer,945.1219512195122
656,Ormonde Court,699950,Penthouse,907,2,Putney,London,SW15,6TR,Further Outer,771.7199558985667
657,Sisters Avenue,1550000,House,2052,4,NA,London,SW11,5SW,Middle,755.3606237816764
658,Crockerton Road,1850000,House,3247,7,NA,London,SW17,7HG,Outer,569.7566984909147
659,Pullman Court,249999,Flat / Apartment,458,1,Streatham Hill,London,SW2,4ST,Outer,545.849344978166
660,Clifton Road,3300000,House,3448,4,Little Venice,London,W9,1SZ,Middle,957.07656612529
661,Pearson Square,1600000,Flat / Apartment,1402,2,Fitzrovia,London,W1,3BJ,central,1141.2268188302426
662,Portland Chambers,1790000,Penthouse,890,2,Fitzrovia,London,1W,6RP,Further Outer,2011.2359550561798
663,Bryanston Court,4950000,Flat / Apartment,2817,6,Marylebone,London,W1,7HB,central,1757.188498402556
664,Green Street,2250000,Flat / Apartment,987,2,NA,London,W1,6RG,central,2279.6352583586627
665,Green Street,2650000,Flat / Apartment,1027,2,Mayfair,London,W1,6RG,central,2580.3310613437197
668,Bishops Gate,990000,New development,820,2,82-88 Fulham High Street,London,SW6,3LF,Outer,1207.3170731707316
669,Barts Square,1650000,New development,1259,3,Smithfield Market,London,EC1,9DS,Further Outer,1310.5639396346307
670,Cubitt Building,765000,New development,618,1,10 Gatliff Road,London,S1W,8QL,Further Outer,1237.8640776699028
671,Gainsborough Studios West,1100000,Flat / Apartment,1095,2,Shoreditch,London,N1,5EA,central,1004.566210045662
672,Middleton Road,474950,Flat / Apartment,540,1,Hackney,London,E8,4BS,Middle,879.5370370370371
673,Pond Street,2450000,Penthouse,1879,3,Hampstead,London,NW3,2PS,Middle,1303.885045236828
674,Clark House,650000,Flat / Apartment,668,1,Hampstead,London,NW3,7AT,Middle,973.0538922155689
675,Corfton Road,499950,Flat / Apartment,603,1,NA,London,W5,2HT,Further Outer,829.1044776119403
676,Corfton Road,449950,Flat / Apartment,539,1,NA,London,W5,2HT,Further Outer,834.7866419294991
684,Cornwall Gardens,395000,Flat / Apartment,734,2,NA,London,SW7,4BE,Middle,538.1471389645776
685,Spruce House,1000000,Penthouse,1539,2,4 Woodland Crescent,London,SE16,6YG,Middle,649.772579597141
686,Emmanuel Road,825000,Flat / Apartment,1517,3,NA,London,SW12,0HF,Outer,543.8365194462756
687,Brandreth Road,1600000,House,2340,5,NA,London,SW17,8ER,Outer,683.7606837606837
688,Ziggurat Building,1250000,Flat / Apartment,1085,2,Clerkenwell,London,EC1,8QX,Further Outer,1152.073732718894
689,Swanscombe Road,1100000,House,1112,3,Chiswick,London,W4,2HQ,Further Outer,989.2086330935252
690,Hamilton Road,1200000,House,1517,4,Chiswick,London,W4,1AL,Further Outer,791.0349373764008
691,Castelnau,4000000,House,5108,5,Barnes,London,SW13,9EX,Further Outer,783.0853563038371
692,Chester Close,1250000,House,1952,3,Barnes,London,SW13,0JE,Further Outer,640.3688524590164
693,Matheson Road,430000,Flat / Apartment,477,1,NA,London,W14,8SN,Outer,901.4675052410902
694,Batoum Gardens,635000,Flat / Apartment,556,2,NA,London,W6,7QB,Outer,1142.086330935252
695,Wood Crescent,1000000,New development,960,2,NA,London,W12,7GS,Outer,1041.6666666666667
696,Lime Grove,420000,Flat / Apartment,783,2,NA,London,W12,8EE,Outer,536.3984674329502
697,Prince of Wales Mansions,699950,Flat / Apartment,816,2,Prince of Wales Drive,London,SW11,4BG,Middle,857.781862745098
698,Primrose Mansions,585000,Flat / Apartment,552,1,Prince of Wales Drive,London,SW11,4EE,Middle,1059.7826086956522
699,Frere Street,800000,House,1148,3,Battersea,London,SW11,2JA,Middle,696.8641114982578
701,Jessica Road,1450000,House,2131,4,Wandsworth,London,SW18,2QL,Outer,680.431722196152
702,Rosehill Road,2000000,House,2518,5,Wandsworth,London,SW18,2NX,Outer,794.2811755361398
703,Carlton Hill,995000,Flat / Apartment,814,2,St John's Wood,London,NW8,0EN,Middle,1222.3587223587224
704,Albany,3250000,Flat / Apartment,917,2,Piccadilly,London,W1,0AX,central,3544.1657579062157
707,Devonshire Street,875000,Flat / Apartment,570,2,Marylebone,London,W1,6PY,central,1535.0877192982457
708,Luxborough Street,750000,Flat / Apartment,633,2,Marylebone,London,W1,5BS,central,1184.8341232227488
709,Pelham Place,7500000,House,2693,4,South Kensington,London,SW7,2NQ,Middle,2784.998143334571
710,Cottesmore Court,5950000,Penthouse,3002,4,Stanford Road,London,W8,5QL,Middle,1982.0119920053298
711,Hyde Park Gate,3750000,Flat / Apartment,1925,3,NA,London,SW7,5DT,Middle,1948.051948051948
712,Holland Park Villas,7600000,New development,2238,3,Kensington,London,W8,7AF,Middle,3395.8891867739053
713,The Rectangular Tower,565000,New development,739,2,3 City North Place,London,N4,2DH,Middle,764.5466847090663
714,Cloudesley Place,1435000,House,1341,3,Islington,London,N1,0JA,central,1070.096942580164
715,Packington Street,1295000,New development,1321,2,NA,London,N1,8RA,central,980.3179409538228
716,Hertford Road,485000,Flat / Apartment,822,2,De Beauvoir,London,N1,4SN,central,590.0243309002433
718,Vicarage Road,2350000,House,2281,4,NA,London,SW14,8RU,Further Outer,1030.2498903989479
719,Fernside Road,1350000,House,1805,4,NA,London,SW12,8LJ,Outer,747.9224376731302
720,Junction House,545000,New development,691,1,Battersea,London,SW11,2NU,Middle,788.712011577424
721,Junction House,640000,New development,691,2,Battersea,London,SW11,2NU,Middle,926.1939218523878
722,Junction House,545000,New development,577,1,Battersea,London,SW11,2NU,Middle,944.5407279029463
723,Carlton Drive,1850000,Penthouse,2120,3,Putney,London,SW15,2BS,Further Outer,872.6415094339623
724,Carlton Drive,1460000,New development,1399,3,Putney,London,SW15,2BS,Further Outer,1043.602573266619
725,Rectory Road,2200000,House,2266,5,Barnes,London,SW13,0DU,Further Outer,970.8737864077669
726,St. Dunstans Road,1325000,House,1782,4,NA,London,W6,8RB,Outer,743.5465768799102
727,St. George Wharf,3550000,Flat / Apartment,1862,3,Vauxhall,London,SW8,2BW,Middle,1906.5520945220194
728,South Park Road,1195000,House,1271,3,Wimbledon,London,SW19,8SZ,Further Outer,940.204563335956
729,Durrington Park Road,1995000,House,2620,5,Wimbledon,London,SW20,8NU,Further Outer,761.4503816793894
730,Rydon Mews,1585000,House,1712,4,Wimbledon,London,SW19,4RP,Further Outer,925.8177570093458
731,Drax Avenue,2695000,House,3924,6,Wimbledon,London,SW20,0EG,Further Outer,686.7991845056065
732,Ridgway Place,2990000,House,3067,6,Wimbledon,London,SW19,4EW,Further Outer,974.8940332572546
733,Hendham Road,1875000,House,2422,5,Wandsworth,London,SW17,7DH,Outer,774.1535920726673
734,Eamont Court,650000,Flat / Apartment,623,2,Shannon Place,London,NW8,7DN,Middle,1043.338683788122
735,Kensington Apartments,559000,Flat / Apartment,513,1,Aldgate,London,E1,6LW,central,1089.6686159844055
736,Eaton Square,3450000,Flat / Apartment,1441,2,NA,London,S1W,9DH,Further Outer,2394.170714781402
737,Eaton Place,2000000,Flat / Apartment,1520,2,Belgravia,London,SW1,8DE,central,1315.7894736842106
739,Putney Park House,425000,Flat / Apartment,592,1,Putney,London,SW15,5HJ,Further Outer,717.9054054054054
740,North Side Wandsworth Common,700000,Flat / Apartment,1040,3,NA,London,SW18,2SL,Outer,673.0769230769231
741,Bryanston Square,2200000,Flat / Apartment,1163,3,Marylebone,London,W1,2DH,central,1891.6595012897678
742,Shillibeer Place,1750000,House,1224,3,Marylebone,London,W1,4DR,central,1429.7385620915034
743,Eaton Place,1450000,Flat / Apartment,765,2,NA,London,SW1,8AL,central,1895.424836601307
744,Alwyne Road,3500000,House,2216,4,Islington,London,N1,2HW,central,1579.4223826714801
745,Liverpool Road,925000,Flat / Apartment,1032,2,NA,London,N1,0PY,central,896.3178294573644
746,Canonbury Park North,1850000,Flat / Apartment,1623,4,Islington,London,N1,2JU,central,1139.864448552064
747,Fitzjohn's Avenue,2295000,Flat / Apartment,2039,3,Hampstead,London,NW3,5JY,Middle,1125.551741049534
748,Hampstead Hill Gardens,925000,Flat / Apartment,730,1,Hampstead,London,NW3,2PL,Middle,1267.123287671233
749,Park View Road,2000000,House,3060,5,NA,London,W5,2JF,Further Outer,653.59477124183
750,Coval Road,1350000,House,1767,4,NA,London,SW14,7RW,Further Outer,764.0067911714771
751,The Madison,1418000,New development,1335,3,Canary Wharf,London,E14,9YT,Middle,1062.1722846441949
752,Rusthall Avenue,1300000,House,1685,4,Chiswick,London,W4,1BL,Further Outer,771.513353115727
753,Paultons Square,5350000,House,2710,4,NA,London,SW3,5AP,Middle,1974.169741697417
754,Melville Road,2400000,House,2425,5,Barnes,London,SW13,9RH,Further Outer,989.6907216494845
755,Burnthwaite Road,825000,Flat / Apartment,853,3,Fulham,London,SW6,5BQ,Outer,967.1746776084408
756,Lena Gardens,635000,Flat / Apartment,634,2,Hammersmith,London,W6,7PZ,Outer,1001.5772870662461
757,Elsham Road,935000,Flat / Apartment,944,2,NA,London,W14,8HH,Outer,990.4661016949152
758,Garfield Road,699950,House,883,2,Wimbledon,London,SW19,8RZ,Further Outer,792.6953567383919
761,Boatman's Court,725000,New development,784,2,Putney,London,SW15,1PP,Further Outer,924.7448979591836
762,Arundel Gardens,1350000,Flat / Apartment,628,1,Notting Hill,London,W11,2LB,Middle,2149.6815286624205
763,Mandrake Road,1200000,House,1746,5,NA,London,SW17,7PX,Outer,687.2852233676975
765,Bishops Gate,650000,New development,560,1,82-88 Fulham High Street,London,SW6,3LF,Outer,1160.7142857142858
766,Sloane Court East,750000,Flat / Apartment,599,1,Chelsea,London,SW3,4TQ,Middle,1252.0868113522538
767,Canalside Square,500000,New development,566,1,NA,London,N1,7FP,central,883.3922261484099
768,Matthias Apartments,825000,Penthouse,1226,2,158 Northchurch Road,London,N1,3FL,central,672.9200652528548
769,Wardo Avenue,975000,Flat / Apartment,1386,3,NA,London,SW6,6RA,Outer,703.4632034632035
770,Montpellier Road,350000,Studio,425,0,Ealing,London,W5,2QS,Further Outer,823.5294117647059
772,Philbeach Gardens,1000000,Flat / Apartment,703,2,NA,London,SW5,9EY,Middle,1422.475106685633
773,Collingham Place,1495000,Flat / Apartment,1122,2,NA,London,SW5,0QF,Middle,1332.4420677361854
774,Temple Sheen,2350000,House,2667,5,NA,London,SW14,7RP,Further Outer,881.1398575178102
775,Stapleton Road,675000,Flat / Apartment,924,2,NA,London,SW17,8AY,Outer,730.5194805194806
776,Cecil Mansions,765000,Flat / Apartment,1025,4,Marius Road,London,SW17,7QN,Outer,746.3414634146342
777,Yukon Road,799950,Flat / Apartment,1320,4,NA,London,SW12,9PY,Outer,606.0227272727273
778,28 Narrow Street,2950000,Penthouse,3451,5,Limehouse,London,E14,8DQ,Middle,854.8246884960881
779,Myddelton Square,999950,Flat / Apartment,792,2,Finsbury,London,EC1,1YB,Further Outer,1262.5631313131314
780,Wolseley Gardens,1200000,House,1710,4,Chiswick,London,W4,3LP,Further Outer,701.7543859649123
781,Speldhurst Road,1250000,House,1395,4,Chiswick,London,W4,1BU,Further Outer,896.0573476702509
782,Eastbury Grove,1495000,House,1889,4,Chiswick,London,W4,2JY,Further Outer,791.42403388036
783,Meredyth Road,1950000,House,2150,4,Barnes,London,SW13,0DS,Further Outer,906.9767441860465
784,Television Centre,785000,New development,590,1,101 Wood Lane,London,W12,7FT,Outer,1330.5084745762713
785,Montevetro,2250000,Flat / Apartment,1641,3,Battersea,London,SW11,3YL,Middle,1371.1151736745887
786,Howick Place,6450000,Flat / Apartment,3578,2,Westminster,London,SW1,1QN,central,1802.6830631637786
787,Ridgway,749950,Flat / Apartment,1059,2,Wimbledon,London,SW19,4QS,Further Outer,708.1680830972616
788,Earlsfield Road,1675000,House,2565,4,NA,London,SW18,3DN,Outer,653.0214424951267
789,Twilley Street,950000,House,1360,4,NA,London,SW18,4NU,Outer,698.5294117647059
790,The Glass Building,1975000,Penthouse,2458,2,226 Arlington Road,London,NW1,7HY,central,803.4987794955248
791,Radnor Walk,3550000,House,1986,5,Chelsea,London,SW3,4BP,Middle,1787.5125881168178
792,Du Cane Court,350000,Flat / Apartment,539,1,Balham High Road,London,SW17,7JA,Outer,649.3506493506494
795,Pearson Square,4600000,New development,1961,3,Fitzrovia,London,W1,3BF,central,2345.741968383478
798,Bramah House,1325000,New development,824,2,9 Gatliff Road,London,S1W,8DP,Further Outer,1608.009708737864
799,Tedworth Square,1850000,Flat / Apartment,981,2,NA,London,SW3,4DU,Middle,1885.8307849133537
800,Upper Park Road,5250000,House,3782,8,Belsize Park,London,NW3,2UP,Middle,1388.1544156530936
801,Ascott Avenue,1000000,House,1549,4,Ealing,London,W5,5QB,Further Outer,645.577792123951
803,Redcliffe Square,2000000,Flat / Apartment,1072,2,NA,London,SW10,9JY,Middle,1865.6716417910447
804,Palmers Road,1200000,House,1760,4,East Sheen,London,SW14,7NB,Further Outer,681.8181818181819
805,Gaskarth Road,1175000,House,1668,4,NA,London,SW12,9NL,Outer,704.4364508393286
806,Kirkstall Road,1300000,House,2177,4,NA,London,SW2,4HD,Outer,597.1520440973817
807,Woodfield Lane,3500000,House,4213,7,NA,London,SW16,1LF,Outer,830.7619273676715
808,Mayford Road,800000,Flat / Apartment,1035,2,NA,London,SW12,8SN,Outer,772.9468599033817
809,Merton Avenue,1200000,House,1615,4,Chiswick,London,W4,1TA,Further Outer,743.0340557275542
810,The Orchard,3295000,House,3230,5,Chiswick,London,W4,1JZ,Further Outer,1020.123839009288
811,Ravensmede Way,425000,Flat / Apartment,548,2,NA,London,W4,1TF,Further Outer,775.5474452554745
812,Carlton House,1215000,New development,1091,3,Putney,London,SW15,2BS,Further Outer,1113.6571952337306
813,Slaidburn Street,1850000,House,1341,3,NA,London,SW10,0JW,Middle,1379.5674869500374
814,Rocks Lane,2275000,House,2652,5,Barnes,London,SW13,0DB,Further Outer,857.843137254902
815,Hampshire Court,400000,Flat / Apartment,601,2,Barnes,London,SW13,0ES,Further Outer,665.5574043261231
816,Valiant House,800000,Flat / Apartment,1143,3,Battersea,London,SW11,3LX,Middle,699.912510936133
817,Queenstown Road,700000,Flat / Apartment,940,2,Battersea,London,SW8,3QD,Middle,744.6808510638298
818,Aslett Street,750000,Duplex,1522,4,NA,London,SW18,2BQ,Outer,492.772667542707
819,City Road,500000,Flat / Apartment,561,1,Clerkenwell,London,EC1,1AG,Further Outer,891.2655971479501
820,Cadogan Lane,3975000,House,1726,3,Knightsbridge,London,SW1,9DP,central,2303.012746234067
822,Seaton Close,1099000,House,1554,4,Putney,London,SW15,3TJ,Further Outer,707.2072072072073
823,Roseland House,539950,Flat / Apartment,627,2,Weimar Street,London,SW15,1SY,Further Outer,861.164274322169
825,Gayville Road,850000,Flat / Apartment,901,2,NA,London,SW11,6JW,Middle,943.3962264150944
826,Edgeley Road,599950,Flat / Apartment,699,2,NA,London,SW4,6HB,Middle,858.2975679542203
827,Marmion Road,695000,Flat / Apartment,987,2,NA,London,SW11,5PA,Middle,704.1540020263425
828,Carlton Mansions,950000,Flat / Apartment,922,3,Maida Vale,London,W9,1NS,Middle,1030.3687635574838
829,Liverpool Road,1999995,House,2073,4,NA,London,N7,8PR,Middle,964.7829232995658
830,Matilda Street,365000,Flat / Apartment,520,1,NA,London,N1,1BG,central,701.9230769230769
831,Kidderpore Avenue,1200000,Flat / Apartment,1218,3,Hampstead,London,NW3,7SF,Middle,985.2216748768473
833,Sketch Apartments,380000,Flat / Apartment,550,1,42 White Horse Lane,London,E1,3FY,central,690.9090909090909
834,Alleyn Park,1875000,House,3435,5,NA,London,SE21,8AA,Outer,545.8515283842795
835,The Chase,5100000,House,4459,7,NA,London,SW4,0NH,Middle,1143.7542049786948
836,Andersens Wharf,490000,Flat / Apartment,771,2,Canary Wharf,London,E14,7DX,Middle,635.5382619974059
837,Lonsdale Road,2750000,House,2612,6,Barnes,London,SW13,9ED,Further Outer,1052.833078101072
838,Townshend Court,450000,Flat / Apartment,460,1,St John's Wood,London,NW8,7DP,Middle,978.2608695652174
839,Weldin Mews,825000,House,1224,3,Putney,London,SW18,1FT,Outer,674.0196078431372
840,Hotham Road,1695000,House,2205,4,Putney,London,SW15,1QJ,Further Outer,768.7074829931972
841,Carlton Drive,425000,Flat / Apartment,548,1,Putney,London,SW15,2BD,Further Outer,775.5474452554745
842,Gloucester Avenue,1250000,Flat / Apartment,896,2,Primrose Hill,London,NW1,8JD,central,1395.0892857142858
843,Northumberland Place,3750000,House,2239,4,NA,London,W2,5BS,Middle,1674.8548459133542
844,The Claves,785000,New development,1263,2,Mill Hill,London,NW7,1NY,Further Outer,621.5360253365004
845,City Road,675000,Flat / Apartment,891,2,NA,London,EC1,1LA,Further Outer,757.5757575757576
846,Forest Road,465000,Flat / Apartment,518,1,Hackney,London,E8,3BL,Middle,897.6833976833976
847,Howitt Road,1350000,Flat / Apartment,1023,2,Belsize Park,London,NW3,4LJ,Middle,1319.6480938416423
848,Ashington Road,2500000,House,2458,5,Fulham,London,SW6,3QJ,Outer,1017.0870626525631
850,Milton Road,945000,House,1112,3,East Sheen,London,SW14,8JP,Further Outer,849.8201438848921
851,Dundee Wharf,725000,Flat / Apartment,861,2,Limehouse,London,E14,8AY,Middle,842.0441347270615
852,Wharfside Point South,325000,Flat / Apartment,469,1,Canary Wharf,London,E14,9EX,Middle,692.9637526652452
853,Myddelton Square,800000,Flat / Apartment,742,2,Finsbury,London,EC1,1YE,Further Outer,1078.167115902965
854,Cloth Court,595000,New development,476,1,Farringdon,London,EC1,7LS,Further Outer,1250
855,Edensor Gardens,425000,Flat / Apartment,740,2,Grove Park,London,W4,2QY,Further Outer,574.3243243243244
856,Lillian Road,1250000,House,1380,3,Barnes,London,SW13,9JF,Further Outer,905.7971014492754
857,Glebe Road,2100000,House,1959,5,Barnes,London,SW13,0DR,Further Outer,1071.9754977029097
858,Knowsley Road,875000,House,869,2,Battersea,London,SW11,5BL,Middle,1006.9044879171462
859,Poyntz Road,1095000,House,1238,3,Battersea,London,SW11,5BH,Middle,884.4911147011309
860,Battersea Church Road,1495000,Penthouse,1680,4,Battersea,London,SW11,3NA,Middle,889.8809523809524
861,Hove Court,895000,Flat / Apartment,1221,3,Wimbledon,London,SW19,4AG,Further Outer,733.005733005733
862,Birdhurst Road,650000,Flat / Apartment,1087,3,NA,London,SW18,1AR,Outer,597.9760809567617
863,Eaton Place,3500000,Flat / Apartment,1548,3,Belgravia,London,SW1,8AD,central,2260.9819121447026
864,Chevalier House,4750000,Flat / Apartment,1559,2,Knightsbridge,London,SW3,1BW,Middle,3046.8248877485566
865,Macaulay Court,550000,Flat / Apartment,690,2,Macaulay Road,London,SW4,0QU,Middle,797.1014492753624
867,Chelsea Waterfront,4035000,New development,2174,4,Chelsea,London,SW10,0QH,Middle,1856.0257589696412
868,Melbourne House,1150000,Flat / Apartment,933,2,50 Kensington Place,London,W8,7PW,Middle,1232.583065380493
869,Peel Street,2350000,House,1327,2,NA,London,W8,7PA,Middle,1770.9118311981915
872,Tower Bridge Road,780000,Penthouse,1010,2,NA,London,SE1,2AW,central,772.2772277227723
873,Becmead Avenue,1595000,House,3260,6,NA,London,SW16,1UQ,Outer,489.2638036809816
874,Pavilion Square,1000000,House,2456,3,NA,London,SW17,7DN,Outer,407.16612377850163
875,Blandfield Road,850000,House,953,2,NA,London,SW12,8BQ,Outer,891.9202518363064
876,Beechmore Road,625000,Flat / Apartment,967,1,NA,London,SW11,4ET,Middle,646.3288521199586
877,Trott Street,1300000,House,1457,4,Battersea,London,SW11,3DS,Middle,892.2443376801647
878,Maunsel Street,2950000,House,2349,5,Westminster,London,SW1,2QN,central,1255.8535547041295
879,South Park Road,995000,House,1184,3,Wimbledon,London,SW19,8SZ,Further Outer,840.3716216216217
880,Wycombe Place,1150000,House,1705,3,NA,London,SW18,2LT,Outer,674.4868035190616
881,Battersea Reach,700000,Flat / Apartment,814,2,Battersea,London,SW18,1TA,Outer,859.9508599508599
882,Cicada Road,575000,Flat / Apartment,619,2,NA,London,SW18,2NW,Outer,928.9176090468497
883,Southborough Road,1675000,House,1749,4,South Hackney,London,E9,7EE,Middle,957.6901086335049
884,Trevor Square,4500000,Flat / Apartment,1607,2,NA,London,SW7,1EA,Middle,2800.2489110143124
885,Eaton Square,820000,Flat / Apartment,992,1,NA,London,S1W,9BD,Further Outer,826.6129032258065
887,Felsham Road,635000,Flat / Apartment,774,2,Putney,London,SW15,1BB,Further Outer,820.4134366925065
888,Langside Avenue,1995000,House,3256,5,Putney,London,SW15,5QT,Further Outer,612.7149877149877
889,Liverpool Road,1895000,House,1868,3,Islington,London,N1,0RE,central,1014.4539614561028
893,Duckman Tower,825000,Flat / Apartment,1026,3,Canary Wharf,London,E14,9BL,Middle,804.093567251462
894,Clerkenwell Road,875000,Flat / Apartment,767,2,Clerkenwell,London,EC1,5PY,Further Outer,1140.8083441981746
895,Meredyth Road,2175000,House,2108,5,Barnes,London,SW13,0DS,Further Outer,1031.7836812144212
896,Rectory Road,2250000,House,2332,5,Barnes,London,SW13,0DT,Further Outer,964.8370497427101
897,Alexandra Avenue,975000,Flat / Apartment,1100,2,Battersea,London,SW11,4DZ,Middle,886.3636363636364
898,Edna Street,1735000,House,2144,4,Battersea,London,SW11,3DP,Middle,809.2350746268656
899,Kingholme House,1375000,House,1335,3,Wimbledon,London,SW19,4RD,Further Outer,1029.9625468164793
900,Tonsley Road,1295000,House,1811,4,NA,London,SW18,1BG,Outer,715.0745444505798
901,Addison House,875000,Flat / Apartment,693,2,Grove End Road,London,NW8,9EL,Middle,1262.6262626262626
902,Jade Terrace,1950000,House,1873,5,South Hampstead,London,NW6,4EQ,Middle,1041.1105178857447
905,Elsworthy Terrace,1295000,Flat / Apartment,1366,2,NA,London,NW3,3DR,Middle,948.0234260614934
907,Bickenhall Mansions,2150000,Flat / Apartment,1672,3,Marylebone,London,W1,6BT,central,1285.8851674641148
908,Goodwood Court,800000,Flat / Apartment,548,2,Marylebone,London,1W,5DZ,Further Outer,1459.85401459854
909,Portland Chambers,1750000,Flat / Apartment,883,2,Fitzrovia,London,1W,6RP,Further Outer,1981.8799546998866
911,Bowden House,1178000,New development,847,2,Battersea,London,SW11,4FA,Middle,1390.7910271546634
913,Aubrey Road,7950000,House,3443,5,NA,London,W8,7JJ,Middle,2309.032820214929
914,Wynnstay Gardens,2150000,Flat / Apartment,1806,4,NA,London,W8,6UP,Middle,1190.4761904761904
915,Battledean Road,1895000,House,2132,5,Highbury,London,N5,1UZ,Middle,888.8367729831144
